name,code,kor_name
afrikaans,af,아프리카어
albanian,sq,알바니아
amharic,am,암하라어
arabic,ar,아라비아말
armenian,hy,아르메니아사람
azerbaijani,az,아제르바이잔
basque,eu,바스크사람
belarusian,be,벨로루시
bengali,bn,벵골사람
bosnian,bs,보스니아인
bulgarian,bg,불가리아사람
catalan,ca,카탈로니아사람
cebuano,ceb,세부아노
chichewa,ny,치체와
chinese (simplified),zh-cn,중국어(간체)
chinese (traditional),zh-tw,중국전통)
corsican,co,코르시카인
croatian,hr,크로아티아사람
czech,cs,체코사람
danish,da,덴마크말
dutch,nl,네덜란드사람
english,en,영어
esperanto,eo,에스페란토말
estonian,et,에스토니아사람
filipino,tl,필리핀
finnish,fi,핀란드어
french,fr,프랑스국민
frisian,fy,프리지아
galician,gl,갈리시아어
georgian,ka,조르지아주사람
german,de,독일사람
greek,el,그리스어
gujarati,gu,구자라트어
haitian creole,ht,아이티크리올
hausa,ha,Hausa
hawaiian,haw,하와이사람
hebrew,iw,헤브라이사람
hindi,hi,아니
hmong,hmn,몽족
hungarian,hu,헝가리인
icelandic,is,아이슬란드
igbo,ig,이보
indonesian,id,인도네시아인
irish,ga,아일랜드의
italian,it,이탈리아사람
japanese,ja,일본어
javanese,jw,자바어
kannada,kn,칸나다어
kazakh,kk,카자흐어
khmer,km,크메르
korean,ko,한국어
kurdish (kurmanji),ku,쿠르드어(Kurmanji)
kyrgyz,ky,키르기스
lao,lo,결핵
latin,la,라틴어
latvian,lv,라트비아사람
lithuanian,lt,리투아니아사람
luxembourgish,lb,룩셈부르크어
macedonian,mk,마케도니아어
malagasy,mg,마다가스카르사람
malay,ms,말레이사람
malayalam,ml,말라얄람어
maltese,mt,몰티즈
maori,mi,마오리족
marathi,mr,마라티어
mongolian,mn,몽고어
myanmar (burmese),my,미얀마(버마어)
nepali,ne,네팔어
norwegian,no,노르웨이인
pashto,ps,파슈토어
persian,fa,페르시아인
polish,pl,광택
portuguese,pt,포르투갈인
punjabi,pa,펀자비
romanian,ro,루마니아사람
russian,ru,러시아인
samoan,sm,사모아
scots gaelic,gd,스코틀랜드게일어
serbian,sr,세르비아사람
sesotho,st,세소토
shona,sn,쇼나
sindhi,sd,신디
sinhala,si,신할라
slovak,sk,슬로바키아사람
slovenian,sl,슬로베니아
somali,so,소말리아
spanish,es,스페인의
sundanese,su,순다어
swahili,sw,스와힐리어
swedish,sv,스웨덴어
tajik,tg,타직
tamil,ta,타밀사람
telugu,te,텔루구어
thai,th,타이
turkish,tr,터키어
ukrainian,uk,우크라이나인
urdu,ur,우르두어
uzbek,uz,우즈벡
vietnamese,vi,베트남어
welsh,cy,웨일스말
xhosa,xh,코사
yiddish,yi,이디시
yoruba,yo,요루바
zulu,zu,줄루족
Filipino,fil,필리핀어
Hebrew,he,헤브라이사람
